% Magnetic field model coefficients
% nmax:  15
% epoch: 2002.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            5143.6862             -21.1993               0.0000
    1     0          -29589.0850              11.8319               0.0000
    1     1           -1705.3584              11.3707               0.0000
    2    -2            -479.9581             -11.8385               0.0000
    2    -1           -2526.5726             -23.0111               0.0000
    2     0           -2296.3062             -14.7646               0.0000
    2     1            3061.7843              -4.3313               0.0000
    2     2            1663.7881              -2.9768               0.0000
    3    -3            -508.1489              -6.6485               0.0000
    3    -2             285.0439              -4.8042               0.0000
    3    -1            -216.0878               5.3935               0.0000
    3     0            1336.5933              -0.6542               0.0000
    3     1           -2295.3079              -3.4592               0.0000
    3     2            1250.0151              -1.0736               0.0000
    3     3             697.2062              -7.8862               0.0000
    4    -4            -304.2118              -0.1249               0.0000
    4    -3             129.9061               5.1291               0.0000
    4    -2            -230.0355               1.1752               0.0000
    4    -1             275.8178               1.7569               0.0000
    4     0             927.2705              -2.4102               0.0000
    4     1             791.1540               2.2314               0.0000
    4     2             234.1163              -7.6604               0.0000
    4     3            -394.4744               4.7064               0.0000
    4     4             107.4293              -2.0308               0.0000
    5    -5             105.6099              -0.5263               0.0000
    5    -4             -31.7662               3.9280               0.0000
    5    -3            -128.9509               2.0066               0.0000
    5    -2             174.8351               1.5344               0.0000
    5    -1              43.3306              -0.2240               0.0000
    5     0            -221.7346              -1.8128               0.0000
    5     1             352.5560               0.6728               0.0000
    5     2             217.1649              -2.7458               0.0000
    5     3            -132.9132              -1.1978               0.0000
    5     4            -168.5587               0.0928               0.0000
    5     5             -13.1119              -0.2965               0.0000
    6    -6              46.7785               1.2279               0.0000
    6    -5               0.3813              -0.1019               0.0000
    6    -4             -62.1193              -0.4383               0.0000
    6    -3              64.6956              -0.2891               0.0000
    6    -2              60.1799              -1.7272               0.0000
    6    -1             -18.8184              -0.6134               0.0000
    6     0              73.2982               0.0343               0.0000
    6     1              68.8859               0.3126               0.0000
    6     2              75.6083               0.4287               0.0000
    6     3            -157.0742               1.9962               0.0000
    6     4              -9.2384              -1.8253               0.0000
    6     5              15.8890              -0.3129               0.0000
    6     6             -89.1758               0.8510               0.0000
    7    -7              -5.4719               0.2347               0.0000
    7    -6             -25.6922              -0.1879               0.0000
    7    -5              13.3308              -0.8359               0.0000
    7    -4              24.6539               0.3348               0.0000
    7    -3               6.5374               0.0813               0.0000
    7    -2             -23.6010               0.4324               0.0000
    7    -1             -63.1025               0.5513               0.0000
    7     0              79.4199               0.1586               0.0000
    7     1             -74.2237              -0.0676               0.0000
    7     2              -0.4922              -0.2479               0.0000
    7     3              35.3877               1.0824               0.0000
    7     4              10.4532               0.6089               0.0000
    7     5               7.8590               0.5001               0.0000
    7     6               6.6597              -0.3641               0.0000
    7     7              -0.1330               0.6307               0.0000
    8    -8              -1.2853               0.4675               0.0000
    8    -7             -14.1419               0.4592               0.0000
    8    -6               8.3677              -0.2378               0.0000
    8    -5              15.7298               0.1627               0.0000
