% Magnetic field model coefficients
% nmax:  65
% epoch: 2015.5900
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4779.7616             -29.0262              -2.4616
    1     0          -29437.9403               8.6440               0.9519
    1     1           -1491.0889              14.0128              -4.2410
    2    -2            -651.4896             -15.4648              -0.3835
    2    -1           -2861.7421             -27.7632              -0.9132
    2     0           -2452.1255             -10.0140              -0.7431
    2     1            3009.3829              -4.6386              -0.8327
    2     2            1677.4593               1.5255              -0.1478
    3    -3            -538.7117              -0.5798              -1.6513
    3    -2             245.0803              -0.0794              -0.1622
    3    -1            -110.7833               7.5548              -0.5362
    3     0            1352.3798               3.2129              -0.2302
    3     1           -2355.8994              -5.2892               0.2682
    3     2            1225.9853               0.7137               0.9579
    3     3             575.3792             -10.7247              -0.0502
    4    -4            -331.8470              -4.1460               0.8379
    4    -3             182.9874               3.6518               0.3847
    4    -2            -185.2347               5.6947               0.1005
    4    -1             283.2421              -0.5548               0.2219
    4     0             906.7345              -0.7193               0.0106
    4     1             813.9472              -0.1816              -0.4717
    4     2             115.5645              -8.1864               0.7445
    4     3            -332.2183               4.6292               0.4572
    4     4              67.7338              -4.3664               0.0934
    5    -5             100.0259              -0.2997              -0.3204
    5    -4              18.0384               3.3037              -0.1292
    5    -3            -119.6376              -0.6136               0.5882
    5    -2             198.2271               1.9659               0.2294
    5    -1              47.0516               0.0896              -0.0240
    5     0            -233.3207              -0.3699              -0.0536
    5     1             360.2162               0.6160              -0.0605
    5     2             191.4728              -1.2212               0.2684
    5     3            -140.9742              -0.0912               0.0571
    5     4            -156.5606               1.3115              -0.1265
    5     5               6.6001               3.4901              -0.9939
    6    -6              62.9491               0.9930               0.1974
    6    -5               7.8298               0.7005              -0.2849
    6    -4             -66.5799               0.1158               0.0746
    6    -3              58.1111              -0.9468              -0.1607
    6    -2              32.0107              -1.7551               0.2603
    6    -1             -20.3186               0.5075               0.0936
    6     0              68.7765              -0.8112              -0.0259
    6     1              67.5301              -0.3603               0.0507
    6     2              72.6854              -0.4139               0.1933
    6     3            -128.6217               2.0503              -0.2839
    6     4             -29.6807              -1.2820              -0.1118
    6     5              13.3532               0.2805              -0.1400
    6     6             -69.9564               1.5765               0.1021
    7    -7              -2.5066              -0.2166               0.1351
    7    -6             -27.5521              -0.0548               0.0292
    7    -5               2.7186              -0.9857              -0.1187
    7    -4              24.3256              -0.2176              -0.0527
    7    -3               5.4017              -0.4187              -0.2438
    7    -2             -19.1016               0.5269               0.0429
    7    -1             -53.8513               0.6053              -0.0617
    7     0              81.2788              -0.0943              -0.0945
    7     1             -76.2173              -0.1646              -0.1554
    7     2              -7.1115              -0.4860               0.0356
    7     3              52.6079               1.1752              -0.0818
    7     4              15.2106               0.1651              -0.0901
    7     5               8.9053              -0.6979               0.0220
    7     6              -3.4049              -0.9651              -0.0312
    7     7               6.6644               0.1867               0.1659
    8    -8               2.3768               0.2319              -0.0283
    8    -7              -8.8646               0.3997               0.0470
    8    -6               5.5556              -0.2343              -0.1089
    8    -5              16.0285              -0.2332               0.0029
    8    -4             -14.2256               0.5863               0.0448
    8    -3              13.1819               0.0036              -0.0940
    8    -2             -17.9797               0.5074              -0.0019
    8    -1               9.8762              -0.2818               0.1071
    8     0              23.8092              -0.0346               0.0731
    8     1               8.9842               0.2367               0.1522
    8     2             -16.8823              -0.1807               0.1138
    8     3              -2.8481               0.5712              -0.0268
